movieCd,movieNm,openDt,repGenreNm,directors,prdtYear,nationAlt,watchGradeNm,audiAcc,salesAcc,targetDt
20241941,좀비딸,2025-07-30,코미디,필감성,2024.0,한국,,21710.0,197048000.0,20250725.0
20233227,전지적 독자 시점,2025-07-23,판타지,김병우,2025.0,한국,,742424.0,7405910160.0,20250729.0
20255656,꼬마마법사 주니토니,2025-07-26,애니메이션,서동해,2025.0,한국,,,,
20233217,더 킬러스,2024-10-23,드라마,"김종관, 노덕, 장항준, 이명세",2023.0,한국,,6807.0,46586000.0,20241025.0
20254603,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,애니메이션,변희선,2025.0,한국,,95096.0,894128280.0,20250729.0
20249464,우리 둘 사이에,2025-07-30,드라마,성지혜,2024.0,한국,,,,
20255866,극장판 다이노맨: 공룡산의 비밀,2025-07-25,애니메이션,김호락,2025.0,한국,,,,
20251808,오키나와 블루노트,2025-07-23,드라마,조성규,2024.0,한국,,,,
20256050,아이 킬 유,2025-07-23,액션,유하,2025.0,한국,,,,
20248866,비밀의 화원,2025-07-23,드라마,김성환,2024.0,한국,,,,
20255944,뮤지컬 오지게 재밌는 가시나들,2025-07-23,뮤지컬,,2025.0,한국,,,,
20255945,망국전쟁 : 뉴라이트의 시작,2025-07-23,다큐멘터리,,2025.0,한국,,,,
20256032,대탈출 : 더 스토리 특별판,2025-07-23,어드벤처,,2025.0,한국,,1583.0,15723500.0,20250723.0
20231495,소주전쟁,2025-05-30,드라마,,2025.0,한국,,274568.0,2571461590.0,20250617.0
20254237,무명 無名,2025-06-25,다큐멘터리,유진주,2025.0,한국,,61049.0,575823500.0,20250715.0
20254820,"빛의 혁명, 민주주의를 지키다",2025-05-30,다큐멘터리,,2025.0,한국,,,,
20253248,씨그널: 바다의 마지막 신호,2025-07-16,다큐멘터리,"박정례, 이지윤",2025.0,한국,,,,
20256041,육덕진 누나의 야릇한 혀놀림,2025-07-18,성인물(에로),,2025.0,한국,,,,
20256040,성욕에 미친 야한 유부녀,2025-07-18,성인물(에로),,2025.0,한국,,,,
20256171,2024 태민 월드 투어 [이페머럴 게이즈],2025-07-18,공연,,2025.0,한국,,,,
20256039,윗집 아줌마의 비밀 수업,2025-07-17,성인물(에로),,2025.0,한국,,,,
20256038,딸보다 욕정을 선택한 장모님,2025-07-17,성인물(에로),,2025.0,한국,,,,
20255281,구마수녀 - 들러붙었구나,2025-07-17,공포(호러),노홍진,2025.0,한국,,,,
20211791,하이파이브,2025-05-30,코미디,강형철,2025.0,한국,,1881386.0,17451913470.0,20250708.0
20254275,킹 오브 킹스,2025-07-16,애니메이션,장성호,2025.0,한국,,804285.0,7610124956.0,20250729.0
20242717,커미션,2025-07-16,미스터리,신재민,2023.0,한국,,11601.0,80583360.0,20250722.0
20249170,일과 날,2025-07-16,다큐멘터리,"박민수, 안건형",2024.0,한국,,,,
20256035,아이돌 닮은 하숙집 누나,2025-07-16,성인물(에로),,2025.0,한국,,,,
20256037,누나 오늘 나랑 하자,2025-07-16,성인물(에로),,2025.0,한국,,,,
20256036,남자친구랑 헤어진 글래머,2025-07-16,성인물(에로),,2025.0,한국,,,,
20249669,꿈꾸는 사진관,2025-07-16,드라마,정초신,2024.0,한국,,,,
20212352,1승,2024-12-04,드라마,신연식,2021.0,한국,,313518.0,2738795730.0,20241220.0
20244562,봄밤,2025-07-09,드라마,강미자,2024.0,한국,,,,
20256033,고고다이노 극장판: 게코도마뱀의 꿈,2025-07-30,애니메이션,이원재,2025.0,한국,,,,
20254823,스와핑-왕게임,2025-07-07,멜로/로맨스,김태수,2025.0,한국,,,,
20256003,여동생의 맛,2025-07-07,멜로/로맨스,김태수,2025.0,한국,,,,
20224492,내가 누워있을 때,2025-05-28,드라마,최정문,2022.0,한국,,,,
20233220,노이즈,2025-06-25,공포(호러),김수진,2025.0,한국,,1663490.0,16323745730.0,20250729.0
20255241,이혼녀 펜션,2025-07-11,성인물(에로),,2025.0,한국,,,,
20255804,K여대생 흑인대물과 격렬섹스2,2025-07-11,성인물(에로),천성준,2025.0,한국,,,,
20254970,BJ 떡방 수사대 무삭제판,2025-07-04,성인물(에로),이타치,2024.0,한국,,,,
20255693,하이브 시네마 노래방,2025-07-10,기타,,2025.0,한국,,,,
20255646,투모로우바이투게더 월드 투어 '액트 : 스위트 미라지',2025-07-10,공연,,2024.0,한국,,,,
20255647,엔하이픈 월드 투어 '페이트',2025-07-10,공연,,2024.0,한국,,,,
20255645,세븐틴 월드 투어 '비 더 선',2025-07-10,공연,,2022.0,한국,,4293.0,85859500.0,20250712.0
20255663,방탄소년단 '맵 오브 더 소울 : 원',2025-07-10,공연,,2020.0,한국,,,,
20236814,여름이 지나가면,2025-07-09,드라마,장병기,2024.0,한국,,,,
20255681,뮤지컬 라파치니의 정원,2025-07-09,공연,,2025.0,한국,,,,
20247638,괴기열차,2025-07-09,공포(호러),탁세웅,2024.0,한국,,96873.0,898683010.0,20250722.0
20217005,영면,2021-07-01,드라마,"이승호, 서오름, 방성훈, 이세영",2021.0,한국,,,,
20249477,자기만의 방,2024-11-20,가족,오세호,2024.0,한국,,,,
20249411,힘을 낼 시간,2024-12-18,드라마,남궁선,2024.0,한국,,,,
20254722,신명,2025-06-02,드라마,,2025.0,한국,,779927.0,7425619380.0,20250715.0
20236343,된장이,2025-07-02,코미디,조한별,2023.0,한국,,,,
20240398,파과,2025-04-30,액션,민규동,2024.0,한국,,543979.0,5196250500.0,20250529.0
20246521,바다호랑이,2025-06-25,드라마,정윤철,2025.0,한국,,,,
20236314,천국은 없다,2025-06-25,액션,손승웅,2024.0,한국,,,,
20255504,전여친 알몸의 목적,2025-06-27,성인물(에로),천성준,2025.0,한국,,,,
20255649,씨지브이 에이아이 영화제 수상작,2025-06-27,드라마,,2025.0,한국,,,,
20255733,씨지브이 에이아이 영화제 노미네이트 작품전,2025-06-27,드라마,,2025.0,한국,,,,
