movieCd,movieNm,audiAcc,salesAcc,targetDt
20192567,원더 우먼 1984,548695,4947583400,20210324
20202703,뱅가드,29812,250386700,20210113
20040725,화양연화,114911,1019244080,20220224
20201002,조제,209062,1876179450,20210117
20192193,도굴,1544146,13950914410,20210119
20202647,나이팅게일,12181,99320420,20210106
20202130,빅풋 주니어2: 패밀리가 떴다,13524,112699280,20210117
20167904,라라랜드,3768585,31093057900,20230418
20202128,100% 울프: 푸들이 될 순 없어,14153,112849940,20210102
20181983,이웃사촌,427422,3671218790,20210104
20081445,굿바이,147277,929682240,20210105
20149629,비긴 어게인,3701400,29478715511,20241015
20207443,소울,2037876,18937199360,20210330
20202203,에이바,24517,187099250,20210107
20202931,완벽한 가족,8634,75045960,20210126
20196672,럭키 몬스터,5023,38212580,20210106
20206547,극장판 바이올렛 에버가든,56943,484044810,20210107
20200512,미스터 존스,7893,69195790,20210113
20182674,걸,3819,34984870,20210112
20202366,800,16489,140511500,20210108
20202666,가을의 마티네,3629,23445100,20210113
20198056,아이 엠 우먼,22918,186954270,20210131
20078386,블라인드,17208,150040100,20210126
20197277,#아이엠히어,14393,119570530,20210120
19910182,늑대와 춤을,7917,67581320,20210122
20203689,마이 미씽 발렌타인,5588,44293280,20210119
20205200,빛의 아버지: 파이널 판타지 XIV,1034,8429600,20210115
20201174,언플랜드,14310,121177260,20210114
20209926,세자매,77926,661362610,20210215
20149120,인터스텔라,10380296,83598454500,20241217
20202540,커넥트,13197,117924690,20210126
20198053,나는 나를 해고하지 않는다,15189,118628060,20210209
20201122,테넷,1996621,18440610170,20210126
20204506,래시 컴 홈,2431,14618450,20210120
20202924,파힘,5652,43239700,20210126
20204504,모추어리 컬렉션,3210,27500300,20210125
20201648,더 시크릿,1886,13773560,20210125
20200703,극장판 귀멸의 칼날: 무한열차편,2213329,21270419220,20250515
20204394,라스트 프론티어,1768,10454500,20210124
20214963,큰엄마의 미친봉고,1818,13067230,20210125
20201649,명탐정 코난: 진홍의 수학여행,56837,480755910,20210209
20150942,캐롤,361321,2991283735,20241122
20215041,토이 솔져스: 가짜사나이2 더 컴플리트,9104,86552800,20210202
20202204,더 렌탈 : 소리없는 감시자,9427,70053280,20210127
20201022,북스마트,12320,79642270,20210205
20199022,관계의 가나다에 있는 우리는,2141,14715000,20210127
20198663,고백,31374,222825000,20210310
20204628,사일런싱,3234,24917500,20210201
20135428,어바웃 타임,3448791,25306084300,20220528
20190582,내가 죽던 날,234322,2141447020,20210131
20190323,새해전야,166671,1539452090,20210223
20215301,어니스트 씨프,80784,716834260,20210304
20202792,스트레스 제로,5937,44535200,20210207
20209627,아이,35794,289060650,20210223
20201692,이 안에 외계인이 있다,705,6158810,20210203
20080269,해피 투게더,47222,436614106,20230331
20204333,페어웰,8678,73296000,20210209
20200472,세상의 모든 디저트: 러브 사라,4117,34573140,20210209
20205980,테슬라,24941,192342950,20210207
20199541,미션 파서블,444052,4046949740,20210324
20202263,호라이즌 라인,2796,13942160,20210209
20214981,몬스터 헌터,101565,967897100,20210223
20050310,해리 포터와 불의 잔,3496787,22073058400,20210303
20203009,드림빌더,15930,135423210,20210216
20202289,엘프,11566,97362720,20210221
20215810,송가인 더 드라마 ,11856,136756000,20210215
20200311,더블패티,15271,131378460,20210326
20202812,마리오네트,4681,37537900,20210220
20202394,시간의 끝에서 널 기다려,1364,10715400,20210217
20198501,빛과 철,7028,58285450,20210223
20214848,퍼펙트 케어,23579,199303090,20210302
20200263,라야와 마지막 드래곤,316986,2929684550,20210411
20215843,카오스 워킹,141768,1190732690,20210310
20202555,톰과 제리,132625,1139360450,20210310
20209013,워 위드 그랜파,12983,106842170,20210302
20215862,라스트 레터,8165,69326710,20210302
20215221,더 레이서,11574,94399840,20210309
20215992,극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,1869,17227740,20210225
20205144,미나리,1128307,10172820920,20210528
20216555,아르코 라이브 뮤지컬 호프,3577,71524000,20210309
20071054,중경삼림,96760,907948470,20220522
20200364,정말 먼 곳,4274,34760950,20210319
20215486,쁘떼뜨,713,5744500,20210310
20010083,반지의 제왕 : 반지원정대,33658,407305530,20210317
20216051,리스타트,40059,356329620,20210526
20216022,웨이 다운,11711,103203230,20210316
20216321,내일도 우린 사랑하고 있을까,1900,11449200,20210311
20215056,아이 씨 유,8323,76511790,20210316
20216069,모리타니안,37455,336138180,20210324
20179942,러빙 빈센트,416582,3318166851,20210317
20216361,브레이브 언더 파이어,14348,113390700,20210328
20030371,태극기 휘날리며,2546967,15698270000,20210317
20020234,반지의 제왕 : 두 개의 탑,24331,287764940,20210323
20030316,반지의 제왕 : 왕의 귀환,725600,4667781700,20210324
20216768,몬테크리스토: 더 뮤지컬 라이브,13010,257195000,20210328
20197434,자산어보,342357,3015064490,20211019
20216673,더 박스,119152,929654830,20210414
20216432,최면,51661,471306350,20210406
20215850,고질라 VS. 콩,698632,6727474690,20210426
20216372,스파이의 아내,5695,50843420,20210329
20216686,아이카,995,9293500,20210325
20216894,트웬티 해커,1409,8728000,20210327
20215931,특명: 스피드 레스큐,406,2038000,20210329
20216494,커피 오어 티,3766,27529470,20210331
20216492,노바디,130238,1243188220,20210426
20205155,"조제, 호랑이 그리고 물고기들",28671,255281620,20230510
20190683,아무도 없는 곳,15636,132584520,20210406
20214847,해길랍,11383,99285280,20210406
20173226,패왕별희 디 오리지널,139937,1287422150,20240401
20198123,아틱,11296,84686810,20210401
19900204,죽은 시인의 사회,74095,591216680,20250203
20201841,부활,18391,147132680,20210405
20199630,어른들은 몰라요,28903,282118390,20210427
20200065,더 파더,30226,258831630,20210419
20208616,간이역,2554,22492340,20210407
20215750,피넛 버터 팔콘,2245,20483010,20210407
20215803,타인의 친절,7409,61737470,20210413
20216523,모탈 컴뱃,36970,380790170,20210414
20196801,비밀의 정원,6845,56484490,20210414
20124134,팅커 테일러 솔저 스파이,95541,720404400,20210412
20200246,부활: 그 증거,39120,318160320,20210411
20183003,서복,385409,3628177450,20210502
20215046,노매드랜드,64601,606720520,20210510
