제목,감독,국가,개봉일,평점,장르
dick johnson is dead,,,2020-01-23,7.1,
blood & water,,,2015-05-12,10.0,
ganglands,,,2015-04-10,0.0,
jailbirds new orleans,,,2015-07-13,6.962,
kota factory,,,2015-07-17,0.0,
midnight mass,,,2015-12-26,0.0,
my little pony: a new generation,,,2021-09-22,7.7,
the great british baking show,,,2017-03-23,4.6,
the starling,,,2017-01-01,0.0,
"vendetta: truth, lies and the mafia",,,2015-06-12,5.4,
bangkok breaking,,,2015-05-01,7.5,
je suis karl,,,2021-09-16,5.296,
confessions of an invisible girl,,,2021-09-22,6.682,
crime stories: india detectives,,,2018-01-01,0.0,
dear white people,,,2015-10-30,4.1,
europe's most dangerous man: otto skorzeny in spain,,,2021-11-05,6.008,
falsa identidad,,,2015-01-01,8.0,
intrusion,,,2015-10-27,3.5,
jaguar,,,2016-10-05,4.5,
monsters inside: the 24 faces of billy milligan,,,2015-10-28,6.1,
resurrection: ertugrul,,,2016-01-07,6.1,
go! go! cory carson: chrissy takes the wheel,,,2021-09-21,6.1,
love on the spectrum,,,2016-12-08,3.8,
grown ups,,,2017-06-08,6.4,
dark skies,,,2015-03-30,5.7,
paranoia,,,2015-11-22,0.0,
ankahi kahaniya,,,2021-09-17,6.077,
chicago party aunt,,,2015-01-07,4.9,
sex education,,,2020-11-26,7.0,
squid game,,,2016-08-17,4.4,
tayo and little wizards,,,2016-04-08,0.0,
the father who moves mountains,,,2021-07-23,5.869,
the stronghold,,,2017-10-12,7.196,
angry birds,,,2016-05-11,6.234,
birth of the dragon,,,2017-08-25,5.779,
chhota bheem,,,2015-08-28,2.0,
he-man and the masters of the universe,,,2016-12-21,7.0,
my heroes were cowboys,,,2021-09-16,6.4,
safe house,,,2021-03-14,4.0,
the smart money woman,,,2015-06-11,5.8,
training day,,,2015-09-25,5.2,
castle and castle,,,2015-12-13,6.0,
dharmakshetra,,,2015-06-05,0.0,
inuyasha the movie 2: the castle beyond the looking glass,,,2015-07-10,2.167,
inuyasha the movie 3: swords of an honorable ruler,,,2019-12-20,7.625,
inuyasha the movie 4: fire on the mystic island,,,2015-04-15,0.0,
inuyasha the movie: affections touching across time,,,2019-11-01,0.0,
nailed it,,,2017-12-31,6.0,
naruto shippuden the movie: blood prison,,,2016-10-27,5.0,
naruto shippûden the movie: bonds,,,2015-02-08,0.0,
naruto shippûden the movie: the will of fire,,,2015-05-28,6.5,
naruto shippuden: the movie,,,2015-02-08,0.0,
naruto shippuden: the movie: the lost tower,,,2015-01-25,10.0,
naruto the movie 2: legend of the stone of gelel,,,2015-09-09,7.058,
naruto the movie 3: guardians of the crescent moon kingdom,,,2015-07-15,7.5,
naruto the movie: ninja clash in the land of snow,,,2016-07-27,7.436,
nightbooks,,,2021-09-15,6.101,
numberblocks,,,2015-12-06,5.5,
raja rasoi aur anya kahaniyan,,,2019-11-26,4.0,
schumacher,,,2021-09-14,7.294,
stories by rabindranath tagore,,,2019-11-11,0.0,
too hot to handle: latino,,,2021-05-20,7.1,
a storybots space adventure,,,2021-11-09,2.0,
jack whitehall: travels with my father,,,2016-10-25,4.2,
king of boys,,,2018-10-26,6.4,
the world's most amazing vacation rentals,,,2015-07-28,6.312,
you vs. wild: out cold,,,2021-09-14,5.727,
yowamushi pedal,,,2015-08-28,7.0,
little singham - black shadow,,,2015-11-11,6.6,
tughlaq durbar,,,2021-09-10,6.0,
tughlaq durbar (telugu),,,2017-02-15,6.325,
firedrake the silver dragon,,,2015-05-28,6.5,
kate,,,2021-09-10,6.639,
lucifer,,,2019-03-28,7.1,
metal shop masters,,,2016-12-21,7.0,
omo ghetto: the saga,,,2020-12-25,4.3,
pokémon master journeys: the series,,,2015-09-04,5.0,
prey,,,2015-10-27,6.0,
titipo titipo,,,2016-09-09,5.423,
blood brothers: malcolm x & muhammad ali,,,2021-09-08,7.258,
mighty raju,,,2016-01-15,5.3,
paradise hills,,,2019-08-29,6.0,
the women and the murderer,,,2021-09-09,6.1,
into the night,,,2019-10-17,8.0,
jj+e,,,2021-09-08,5.815,
show dogs,,,2018-05-18,6.0,
the circle,,,2015-05-28,6.023,
if i leave here tomorrow: a film about lynyrd skynyrd,,,2018-03-13,7.8,
kid cosmic,,,2016-08-31,7.0,
octonauts: above & beyond,,,2015-02-05,8.0,
on the verge,,,2021-08-17,0.0,
tobot galaxy detectives,,,2019-12-31,0.0,
untold: breaking point,,,2021-09-07,7.5,
countdown: inspiration4 mission to space,,,2015-06-18,9.5,
shadow parties,,,2015-02-10,0.0,
