제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
매트릭스3 레볼루션,"릴리 워쇼스키, 라나 워쇼스키",미국,2003-11-05,"SF, 액션, 범죄",46337,329369500
위대한 유산,오상훈,한국,2003-10-24,코미디,22789,150931500
아이덴티티,제임스 맨골드,미국,2003-10-31,"범죄, 스릴러",18288,125982500
황산벌,이준익,한국,2003-10-17,코미디,4560,34701000
스캔들-조선남녀상열지사,이재용,한국,2003-10-02,사극,851,8320000
케이트 앤 레오폴드,제임스 맨골드,미국,2003-10-31,"멜로/로맨스, 판타지",195,1591000
깝스,요제프 파레스,"스웨덴, 덴마크",2003-11-05,"코미디, 액션",103,969000
최후의 만찬,손영호,한국,2003-11-14,코미디,59,2163500
써클,박승배,한국,2003-11-14,스릴러,47,321500
인터스테이트,밥 게일,"미국, 캐나다",2003-11-14,"어드벤처, 판타지, 드라마",37,331500
올드보이,박찬욱,한국,2003-11-21,스릴러,294319,1897548500
킬빌,쿠엔틴 타란티노,미국,2003-11-21,액션,33975,224943500
프리다,줄리 테이머,"미국, 캐나다, 멕시코",2003-11-21,드라마,25661,170436000
웰컴 투 콜린우드,"조 루소, 안소니 루소",미국,2003-01-17,"코미디, 범죄",6748,42686500
사토라레,모토히로 카츠유키,일본,2003-11-21,드라마,30281,196009500
씨비스킷,게리 로스,미국,2003-11-21,드라마,1338,9006500
마스터 앤드 커맨더: 위대한 정복자 ,피터 위어,미국,2003-11-28,"전쟁, 드라마, 액션, 어드벤처",45532,289836500
천년호,이광훈,한국,2003-11-28,"멜로/로맨스, 액션, 판타지",25127,158290000
...ing,이언희,한국,2003-11-28,"드라마, 멜로/로맨스",34264,217269000
러브 액츄얼리,리차드 커티스,"미국, 영국",2003-12-05,"멜로/로맨스, 드라마, 코미디",325088,2305172758
야마카시,아리엘 제이통,프랑스,2003-12-05,"액션, 드라마, 범죄",10032,65707500
낭만자객,윤제균,한국,2003-12-05,코미디,48744,312851500
춤추는 대수사선 2,모토히로 카츠유키,일본,2003-12-12,"액션, 범죄, 코미디",19882,129612500
반지의 제왕 : 왕의 귀환,피터 잭슨,미국,2003-12-17,"판타지, 어드벤처",726364,4675917630
해피 에로 크리스마스,이건동,한국,2003-12-17,드라마,64378,411188500
실미도,강우석,한국,2003-12-24,전쟁,1708985,10858321500
스노우 보더,올리아스 바르코,"프랑스, 미국",2003-12-24,액션,2332,15516000
붉은 돼지,미야자키 하야오,일본,2003-12-19,"애니메이션, 전쟁",998,7050000
루니 툰 : 백 인 액션,조 단테,미국,2003-12-24,"액션, 어드벤처",566,3600000
동해물과 백두산이,안진우,한국,2003-12-31,코미디,163084,1041198500
더 캣,보 웰치,미국,2003-12-31,"판타지, 어드벤처",30403,185512000
라스트 사무라이,에드워드 즈윅,미국,2004-01-09,액션,296076,1883780000
말죽거리 잔혹사,유하,한국,2004-01-16,"액션, 멜로/로맨스",604625,3834994000
내사랑 싸가지,신동엽,한국,2004-01-16,코미디,294918,1828895000
피터 팬,P.J. 호건,미국,2004-01-16,"어드벤처, 가족, 판타지",136429,818847500
빙우,김은숙,한국,2004-01-16,드라마,49463,322899500
브라더 베어,"애론 블레이즈, 로버트 워커",미국,2004-01-16,드라마,15887,104735000
페이첵,오우삼,미국,2004-01-22,액션,130266,832432500
안녕! 유에프오,김진민,한국,2004-01-30,드라마,39682,246417500
그녀를 모르면 간첩,박한준,한국,2004-01-30,코미디,23907,146877500
런어웨이,게리 플레더,미국,2004-01-30,스릴러,14532,92187500
태극기 휘날리며,강제규,한국,2004-02-05,"전쟁, 드라마",2542870,15680941000
베이직,존 맥티어난,미국,2004-02-06,액션,11597,74411000
사랑할 때 버려야 할 아까운 것들,낸시 마이어스,미국,2004-02-13,코미디,121364,790557000
열두명의 웬수들 ,숀 레비,미국,2004-02-13,코미디,12618,80004000
자토이치,기타노 다케시,일본,2004-01-30,액션,22338,144138000
목포는 항구다,김지훈,한국,2004-02-20,"드라마, 코미디",423833,2662114000
그녀를 믿지 마세요,배형준,한국,2004-02-20,코미디,287380,1791543000
콜드 마운틴,안소니 밍겔라,미국,2004-02-20,전쟁,48670,308899500
사랑도 통역이 되나요?,소피아 코폴라,미국,2004-02-20,"멜로/로맨스, 액션",25153,163676000
스파이 키드 3D,로버트 로드리게즈,미국,2004-02-13,액션,5663,34331500
타임라인,리차드 도너,미국,2004-02-27,SF,14412,90901500
스쿨 오브 락,리차드 링클레이터,영국,2004-02-27,코미디,21585,135408000
8명의 여인들,프랑수아 오종,프랑스,2004-02-27,코미디,7205,45975500
사마리아,김기덕,한국,2004-03-05,드라마,41580,264384000
빅 피쉬,팀 버튼,미국,2004-03-05,판타지,66031,435353000
휴먼 스테인,로버트 벤튼,미국,2004-03-05,드라마,11901,76406500
어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,강석범,한국,2004-03-12,코미디,178900,1141231000
어깨동무,조진규,한국,2004-03-12,코미디,114906,722932000
헌티드,윌리엄 프리드킨,미국,2004-03-12,액션,24440,155582000
모나리자 스마일,마이크 뉴웰,미국,2004-03-19,드라마,34941,224228000
히달고,조 존스톤,미국,2004-03-19,액션,27991,178098000
맹부삼천지교,김지영,한국,2004-03-26,코미디,216251,1346611000
아홉살 인생,윤인호,한국,2004-03-26,드라마,79738,492547000
허니 ,빌 우드러프,미국,2004-03-26,드라마,15229,99903000
패션 오브 크라이스트,멜 깁슨,미국,2004-04-02,드라마,835216,5300866500
어린 신부,김호준,한국,2004-04-02,코미디,990624,6233979000
마지막 늑대,구자홍,한국,2004-04-01,코미디,42850,272413500
폴리와 함께,존 햄버그,미국,2004-04-02,멜로/로맨스,26728,177086000
고티카,마티유 카소비츠,미국,2004-04-02,공포(호러),21018,136434500
바람의 전설,박정우,한국,2004-04-09,드라마,94096,611858000
저지 걸,케빈 스미스,미국,2004-04-09,멜로/로맨스,86084,551868000
범죄의 재구성,최동훈,한국,2004-04-15,스릴러,938870,6111808000
첫키스만 50번째,피터 시걸,미국,2004-04-15,코미디,181188,1190170000
무간도3: 종극무간,"유위강, 맥조휘",홍콩,2004-07-02,드라마,36852,250262500
테이킹 라이브즈,D.J. 카루소,미국,2004-04-15,스릴러,33774,217911000
라이어,김경형,한국,2004-04-23,"코미디, 멜로/로맨스",99603,651215500
아라한 장풍대작전,류승완,한국,2004-04-30,"액션, 드라마",808765,5197419000
인 더 컷,제인 캠피온,미국,2004-04-30,스릴러,15996,106105500
스타스키와 허치,토드 필립스,미국,2004-04-30,액션,10954,72874000
더티 댄싱 - 하바나 나이트,가이 퍼랜드,미국,2004-04-23,멜로/로맨스,23872,153958000
효자동 이발사,임찬상,한국,2004-05-05,드라마,743496,4824704900
여자는 남자의 미래다,홍상수,한국,2004-05-05,드라마,114312,763024500
스쿠비-두2 : 몬스터 대소동,라자 고스넬,미국,2004-04-30,코미디,18362,115126000
천공의 성 라퓨타,미야자키 하야오,일본,2004-04-30,애니메이션,15432,95991000
킬 빌2,쿠엔틴 타란티노,미국,2004-05-14,액션,138008,920422500
새벽의 저주,잭 스나이더,"미국, 캐나다, 일본, 프랑스",2004-05-14,"공포(호러), 스릴러",102386,668887500
트로이,볼프강 페터젠,미국,2004-05-21,사극,1974402,12606074500
하류인생,임권택,한국,2004-05-21,액션,218853,1432800500
옹박 - 무에타이의 후예,프라챠 핀카엡,태국,2004-05-26,액션,139813,895381800
디 아이2,"대니 팽, 옥사이드 팽 천",홍콩,2004-05-26,공포(호러),149566,958240500
내 여자친구를 소개합니다,곽재용,한국,2004-06-03,"멜로/로맨스, 드라마",1296554,8316311500
투모로우,롤랜드 에머리히,미국,2004-06-03,SF,1817828,11585040500
레이디킬러,"조엘 코엔, 에단 코엔",미국,2004-06-04,코미디,22402,150561500
페이스,유상곤,한국,2004-06-11,공포(호러),238694,1532573500
데스티네이션 2,데이비드 R. 엘리스,미국,2004-06-11,공포(호러),80758,533677000
나두야 간다,정연원,한국,2004-06-25,코미디,192645,1209516500
슈렉2,"콘래드 베논, 캘리 애스버리, 앤드류 아담슨",미국,2004-06-18,애니메이션,1647892,10708702500
령,"이인규, 김태경",한국,2004-06-17,공포(호러),553110,3518412000
내 남자 친구는 왕자님,마사 쿨리지,미국,2004-06-18,멜로/로맨스,47975,314774000
몬스터,팻티 젠킨스,독일,2004-06-18,드라마,48954,321639000
블러디 선데이,폴 그린그래스,영국,2004-06-18,드라마,47536,294595000
아는 여자,장진,한국,2004-06-25,드라마,518365,3328749500
스파이더맨 2,샘 레이미,미국,2004-06-30,SF,1490256,9530789500
인어 공주,박흥식,한국,2004-06-30,드라마,427009,2762204000
"달마야, 서울 가자",육상효,한국,2004-07-09,코미디,687912,4369993500
투 가이즈,박헌수,한국,2004-07-09,코미디,556557,3514513000
착신아리,미이케 다카시,일본,2004-07-09,공포(호러),203491,1269866000
해리포터와 아즈카반의 죄수,알폰소 쿠아론,미국,2004-07-16,드라마,1860996,11728505020
내 남자의 로맨스,박제현,한국,2004-07-16,드라마,731411,4676806000
늑대의 유혹,김태균,한국,2004-07-22,드라마,1246447,7700513000
킹 아더,안톤 후쿠아,미국,2004-07-23,사극,753901,4799323500
그놈은 멋있었다,이환경,한국,2004-07-22,코미디,315767,1958224000
화씨 911,마이클 무어,미국,2004-07-22,다큐멘터리,145296,951934500
"아이, 로봇",알렉스 프로야스,미국,2004-07-30,SF,1105486,7081014000
반 헬싱,스티븐 소머즈,미국,2004-07-30,액션,807542,5172162000
누구나 비밀은 있다,장현수,한국,2004-07-30,"코미디, 멜로/로맨스",523880,3403789500
인형사,정용기,한국,2004-07-30,공포(호러),188405,1162595500
신부수업,허인무,한국,2004-08-05,"드라마, 멜로/로맨스",663087,4178385000
분신사바,안병기,한국,2004-08-05,공포(호러),535933,3377453000
얼굴 없는 미녀,김인식,한국,2004-08-06,스릴러,310902,2002568000
바람의 파이터,양윤호,한국,2004-08-12,액션,1432317,9094978000
시실리 2km,신정원,한국,2004-08-13,코미디,1261624,8039211500
리딕 - 헬리온 최후의 빛,데이빗 토히,미국,2004-08-13,SF,270346,1738678000
알포인트,공수창,한국,2004-08-20,전쟁,1061025,6748817500
본 슈프리머시,폴 그린그래스,미국,2004-08-20,액션,360883,2371624500
가필드,피터 휴잇,미국,2004-08-19,코미디,221631,1354277000
