title,director,country,release_date,genres,누적관객수,누적매출액,평점
태양의 노래,Jo Young-jun,South Korea,2025-06-11,Drama,17303.0,154562000.0,7
좀비딸,Pil Gam-seong,South Korea,2025-07-30,Comedy,29892.0,292157900.0,7
바이러스,Kang Yi-kwan,South Korea,2025-05-07,Drama,71790.0,643194660.0,8
우리 둘 사이에,Seong Ji-hye,South Korea,2025-07-30,Drama,,,7
엣 더 벤치,Okuyama Yoshiyuki,Japan,2025-07-30,Drama,,,7
배드 가이즈 2,Pierre Perifel,United States,2025-07-30,Animation,,,9
방탄소년단 아미: 포에버 위 아 영,Unknown_Random,United States,2025-07-30,Documentary,,,5
반 고흐. 밀밭과 구름 낀 하늘,Unknown_Random,Italy,2025-07-30,Documentary,,,8
고고다이노 극장판: 게코도마뱀의 꿈,Lee Won-jae,South Korea,2025-07-30,Animation,,,7
젖 큰 자매 수상한 형제,Unknown_Random,South Korea,2025-07-03,Drama,,,6
메가 킹,Unknown_Random,United States,2025-07-03,Action,,,3
왓 리메인즈,Nathan Scoggins,United States,2025-07-01,Crime,,,7
남친보다 부장님이 좋아요 무삭제판,Kin-pika Hanukemaru,Japan,2025-07-29,Drama,,,7
어른이 된 여동생 무삭제판,Sato Inosuke,Japan,2025-07-29,Drama,,,7
플로우,Gints Zilbalodis,Unknown,2025-03-19,Animation,166713.0,1596552380.0,9
전지적 독자 시점,Kim Byung-woo,South Korea,2025-07-23,Fantasy,627867.0,6300140580.0,7
꼬마마법사 주니토니,Seo Dong-hae,South Korea,2025-07-26,Animation,,,7
더 킬러스,"Unknown_Random, Unknown_Random, Jang Hang-jun, Unknown_Random",South Korea,2024-10-23,Drama,,,7
판타스틱 4: 새로운 출발,Matt Shakman,United States,2025-07-24,Action,342389.0,3812345970.0,8
슬리핑 독스,Unknown_Random,United States,2025-07-24,Thriller,,,9
베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,Byun Hee-sun,South Korea,2025-07-24,Animation,69127.0,655299080.0,7
레이턴시,Unknown_Random,"United States, Thailand",2025-07-24,Action,,,4
하이큐!! 땅 VS 하늘,Sato Masako,Japan,2020-01-23,Animation,33745.0,280876960.0,7
극장판 다이노맨: 공룡산의 비밀,Kim Ho-rak,South Korea,2025-07-25,Animation,,,7
귀멸의 칼날: 도공 마을 적습편,Sotozaki Haruo,Japan,2025-07-25,Animation,,,7
귀멸의 칼날: 도공 마을 이어진 인연편,Sotozaki Haruo,Japan,2025-07-25,Animation,,,7
조카의 물건에 느껴버린 욕구불만 아내,Gedo Haruhiko,Japan,2025-07-23,Drama,,,7
방문 판매원의 스킬에 젖어버린 유부녀,Gedo Haruhiko,Japan,2025-07-23,Drama,,,7
이사,Somai Shinji,Japan,2025-07-23,Drama,,,7
오키나와 블루노트,Jo Sung-kyu,South Korea,2025-07-23,Drama,,,7
아이 킬 유,Yoo Ha,South Korea,2025-07-23,Action,,,7
비밀의 화원,Kim Seong-hwan,South Korea,2025-07-23,Drama,,,7
뮤지컬 오지게 재밌는 가시나들,Unknown_Random,South Korea,2025-07-23,Musical,,,8
망국전쟁 : 뉴라이트의 시작,Unknown_Random,South Korea,2025-07-23,Documentary,,,3
대탈출 : 더 스토리 특별판,Unknown_Random,South Korea,2025-07-23,Unknown_Random,,,9
8과 1/2,Federico Fellini,Italy,2025-07-23,Drama,,,7
명탐정 코난: 척안의 잔상,Shigehara Katsuy,Japan,2025-07-16,Animation,523239.0,5148402960.0,7
극장판 도라에몽: 진구의 그림이야기,Teramoto Yukiyo,Japan,2025-07-16,Animation,48057.0,398395500.0,7
소주전쟁,Unknown_Random,South Korea,2025-05-30,Drama,271980.0,2549522990.0,6
갈릴리 예수,Unknown_Random,United States,2020-11-26,Documentary,4718.0,38929850.0,5
무명 無名,Yu Jin-joo,South Korea,2025-06-25,Documentary,59231.0,558705200.0,7
"빛의 혁명, 민주주의를 지키다",Unknown_Random,South Korea,2025-05-30,Documentary,,,10
씨그널: 바다의 마지막 신호,"Unknown_Random, Unknown_Random",South Korea,2025-07-16,Documentary,,,7
킹 오브 프리즘 -유어 엔드리스 콜- 모두 빛나라! 프리즘 투어즈,Hishida Masakazu,Japan,2025-07-18,Animation,,,7
스파이에어 저스트 라이크 디스 2024,Unknown_Random,Japan,2025-07-18,Concert,,,2
귀멸의 칼날: 환락의 거리 잠입편,Sotozaki Haruo,Japan,2025-07-18,Animation,,,7
귀멸의 칼날: 환락의 거리 결전편,Sotozaki Haruo,Japan,2025-07-18,Animation,,,7
2024 태민 월드 투어 [이페머럴 게이즈],Unknown_Random,South Korea,2025-07-18,Concert,,,6
이상한 집,Ishikawa Junichi,Japan,2025-07-17,Thriller,,,7
